Genre,Network,CPM,Spot Cost,# Downloads,Avg HHI,Daypart,Female %,Male %,Spot Length,Min Age,Max Age,Spend,Acquisitions,Client Count,CPA
Comedy,Maximum Fun,29.41,11765.00,"400,000",80000.00,Fri,0.50,0.37,:30,18,50,35335.00,216.00,2.00,163.92
Society and Culture,Studio 71,23.00,1150.00,"50,000",80000.00,Thu,0.94,0.06,:60,18,45,12350.00,75.00,6.00,165.44
Leisure,Rooster Teeth,29.40,1176.00,"40,000",,Wed,0.13,0.87,:60,18,35,1533.00,9.00,1.00,168.61
True Crime,Audioboom,33.00,8910.00,"270,000",100000.00,Tue,0.83,0.17,:60,18,45,313381.00,1852.00,13.00,169.23
Technology,TWiT,100.00,17000.00,"170,000",100000.00,Sun,0.05,0.95,:60,25,45,76200.00,446.00,4.00,170.73
Comedy,Independent Podcast,28.75,2875.00,"100,000",100000.00,Mon,0.30,0.70,:60,25,44,22135.00,126.00,5.00,175.38
Education,Stitcher,29.41,1117.58,"38,000",100000.00,Mon;Tue;Wed;Thu;Fri,0.28,0.72,:60,18,65,19052.00,106.00,7.00,179.24
Comedy,Stitcher,35.29,12351.50,"350,000",50000.00,Thu,0.86,0.14,:60,18,64,99987.00,557.00,5.00,179.62
Health and Fitness,Independent Podcast,41.82,6900.00,"165,000",,Tue,0.54,0.46,:30,,,25836.00,140.00,2.00,184.25
Comedy,Audioboom,36.00,5040.00,"140,000",100000.00,Wed,0.35,0.65,:60,18,45,49503.00,265.00,6.00,186.56
Society and Culture,Wave Podcast Network,27.00,675.00,"25,000",100000.00,Sun,0.96,0.04,:60,25,35,1283.00,7.00,1.00,188.05
Society and Culture,Acast,25.00,700.00,"28,000",,Thu,0.82,0.16,:60,28,34,1128.00,6.00,1.00,188.94
TV and Film,Rooster Teeth,29.41,8824.00,"300,000",,Tue;Thu,0.52,0.48,:60,18,35,6975.00,37.00,1.00,190.42
Comedy,Stitcher,23.06,392.00,"17,000",,Mon;Tue;Wed;Thu;Fri,0.86,0.14,:60,30,30,1397.00,7.00,1.00,192.89
